gender,description,stars,reduction,new_brand,avg_price,color,uni
homme,adidas basket homme retrorunner tendance suéde patronne de la mode simple fv7034 - noir,0.44000000000000006,0.46,adidas,5.9,noir,1
homme,reebok basket homme - ultra tendance ex-o-fit hi montante cuir 3477 - blanc,0.42000000000000004,0.4,reebok,5.7,blanc,1
homme,adidas basket unisexe sneakers vl court 2.0 jnr tendance fashion street f36381 - noir,0.4,0.44,adidas,4.99,noir,1
homme,hi-tec basket homme - a006717/031 - noir,0.4,0.0,hi-tec,5.9,noir,1
homme,sayt rlae baskets homme - noir & rouge respirante,0.32,0.44,sayt rlae,1.499,rouge noir,0
homme,adidas basket homme - run falcon utra confortable cloudfoam tendance 2021 - bleu,0.47000000000000003,0.31,adidas,7.9,bleu,1
homme,sayt rlae baskets homme - noir & blanc respirante,0.36,0.44,sayt rlae,1.499,blanc noir,0
homme,adidas basket homme - run falcon utra confortable cloudfoam tendance 2021 - noir,0.31,0.29,adidas,6.99,noir,1
homme,skechers basket homme - s232121/ccrd - gris,0.47000000000000003,0.3,sketchers,8.3,gris,1
homme,hi-tec basket homme - o007407/061 - multicouleur,0.48,0.0,hi-tec,6.9,None,1
homme,nike basket homme - da1105-002 - noir,0.0,0.27,nike,8.7,noir,1
homme,adidas basket homme vl court 2.0 fw3774 - noir,0.42000000000000004,0.0,adidas,8.5,noir,1
homme,adidas baskets homme - fw3774 - noir,0.41,0.35,adidas,5.525,noir,1
homme,nike baskets homme - ct1726-100 - blanc,0.37,0.0,nike,13.6,blanc,1
homme,sayt rlae baskets  - sneakers run - noir,0.27,0.38,sayt rlae,2.8,noir,1
homme,sayt rlae baskets  - sneakers lbs - noir,0.3,0.24,sayt rlae,3.4,noir,1
homme,nike basket homme - cw3403-003 - noir,0.0,0.1,nike,10.7,noir,1
homme,adidas baskets unisexe - sneakers breaknet new look sporty classique fx8707 - blanc,0.42000000000000004,0.38,adidas,6.55,blanc,1
homme,reebok basket  homme - fy7554 - noir,0.45,0.23,reebok,9.5,noir,1
homme,tonypei baskets espadrilles en bache pour homme rouge et blanche,0.5,0.6,tonypei,1.725,blanche rouge,0
homme,nike basket homme - da1105-400 - bleu,0.45999999999999996,0.27,nike,8.7,bleu,1
homme,adidas basket unisexe - sneaker tensaur légère résistante super soft confortable - bleu,0.5,0.25,adidas,5.9,bleu,1
homme,sayt rlae baskets  - sneakers black friday - beige,0.1,0.34,sayt rlae,2.99,beige black,0
homme,cross hatch baskets montantes plates pour hommes-noir/blanc,0.37,0.33,cross hatch,5.25,None,1
homme,adidas basket homme response sr - gris,0.48,0.0,adidas,11.3,gris,1
homme,peak basket unisexe - e12547h  - all black,0.5,0.09,peak,6.3,black,1
homme,sport basket espadrille synthétique cuir pour homme blanche et marron,0.4,0.0,sport,3.45,marron blanche,0
homme,reebok baskets homme - gz9829 - vert,0.4,0.2,reebok,10.24,vert,1
homme,nike baskets homme - cj1682-3 - noir,0.43,0.0,nike,11.6,noir,1
homme,adidas basket homme - gz5433 - noir,0.0,0.15,adidas,9.7,noir,1
homme,adidas basket homme - h01990 - noir,0.4,0.15,adidas,8.3,noir,1
homme,reebok basket homme liquifect 180 2.0 - bleu,0.49000000000000005,0.0,reebok,11.9,bleu,1
homme,hummel basket kiel hummel  black,0.39,0.0,hummel,6.8,black,1
homme,palladium basket homme off-grid lo utility - 77172-069-m,0.0,0.0,palladium,18.9,None,1
homme,sayt rlae baskets  - sneakers run - rouge,0.0,0.38,sayt rlae,2.8,rouge,1
homme,nike basket homme - da1350-001 - noir,0.0,0.27,nike,8.7,noir,1
homme,hummel baskets homme - handewit - noir/blanc,0.4,0.0,hummel,6.8,None,1
homme,hi-tec basket homme - h007015/062/006 - multicouleur,0.0,0.0,hi-tec,10.9,None,1
homme,reebok basket  homme - fx1684 - noir & orange,0.0,0.24,reebok,8.9,orange noir,0
homme,puma basket homme - x-ray tendance 2020 black black - 37260201,0.4,0.16,puma,12.5,black black,0
homme,puma basket homme- flyer runner black &white edition softfoam ultra confortable- noir,0.45999999999999996,0.26,puma,9.5,noir black,0
homme,generix baskets homme - sneakers vxvx - gris&bleu,0.45,0.34,generix,2.99,None,1
homme,hi-tec basket homme - o007407/071 - marron,0.45,0.0,hi-tec,6.9,marron,1
homme,new balance basket 574 lifestyle marinho\ms574kta.,0.0,0.54,new balance,10.999,None,1
homme,peak baskets unisexe - x-light - ew012blue,0.44000000000000006,0.2,peak,5.6,None,1
